ContextId,GeoLevels,LegacyUrlPattern,ExampleUrl
84527,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/wohnungen/kaufen/wohnung-mit-keller,https://immowelt.de/suche/deutschland/wohnungen/kaufen/wohnung-mit-keller
84731,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/hallen-industrieflaechen/mieten/werkstatt,https://immowelt.de/suche/deutschland/hallen-industrieflaechen/mieten/werkstatt
85456,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/haeuser/mieten/mehrfamilienhaus,https://immowelt.de/suche/deutschland/haeuser/mieten/mehrfamilienhaus
86141,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/wohnungen/mieten,https://immowelt.de/suche/deutschland/wohnungen/mieten
86226,Country|Region|Province|Municipality|Borough,/suche/{0}/freizeitgrundstuecke,https://immowelt.de/suche/deutschland/freizeitgrundstuecke
89818,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/garage-stellplatz/kaufen,https://immowelt.de/suche/deutschland/garage-stellplatz/kaufen
89820,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/gewerbegrundstueck/kaufen,https://immowelt.de/suche/deutschland/gewerbegrundstueck/kaufen
90036,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/wohnungen/mieten?roomi=2&rooma=2,https://immowelt.de/suche/deutschland/wohnungen/mieten?roomi=2&rooma=2
90273,Country|Region|Province|Municipality|Borough,/suche/{0}/haeuser/mieten/guenstiges-haus,https://immowelt.de/suche/deutschland/haeuser/mieten/guenstiges-haus
91700,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/haeuser/mieten/doppelhaushaelfte,https://immowelt.de/suche/deutschland/haeuser/mieten/doppelhaushaelfte
91750,Country|Region|Province|Municipality|Borough,/suche/{0}/gastronomie-hotels/mieten/restaurant,https://immowelt.de/suche/deutschland/gastronomie-hotels/mieten/restaurant
91834,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/neubauprojekte,https://immowelt.de/suche/deutschland/neubauprojekte
91880,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/haeuser/kaufen,https://immowelt.de/suche/deutschland/haeuser/kaufen
92072,Country|Region|Province|Municipality|Borough,/suche/{0}/landwirtschaft-forstwirtschaft/kaufen/reiterhof,https://immowelt.de/suche/deutschland/landwirtschaft-forstwirtschaft/kaufen/reiterhof
92930,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/wohnungen/kaufen/behindertengerechte-wohnung,https://immowelt.de/suche/deutschland/wohnungen/kaufen/behindertengerechte-wohnung
93685,Country|Region|Province|Municipality|Borough,/suche/{0}/buero-praxisflaechen/mieten,https://immowelt.de/suche/deutschland/buero-praxisflaechen/mieten
93839,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/wohnungen/mieten?roomi=1&rooma=1,https://immowelt.de/suche/deutschland/wohnungen/mieten?roomi=1&rooma=1
94332,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/lager/mieten,https://immowelt.de/suche/deutschland/lager/mieten
95381,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/garage-stellplatz/mieten/tiefgarage,https://immowelt.de/suche/deutschland/garage-stellplatz/mieten/tiefgarage
95880,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/haeuser/kaufen/burg-schloss,https://immowelt.de/suche/deutschland/haeuser/kaufen/burg-schloss
96110,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/haeuser/mieten/einfamilienhaus,https://immowelt.de/suche/deutschland/haeuser/mieten/einfamilienhaus
97217,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/immobilien/mk/luxusimmobilie-luxusvilla,https://immowelt.de/suche/deutschland/immobilien/mk/luxusimmobilie-luxusvilla
97277,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/haeuser/kaufen/mehrfamilienhaus,https://immowelt.de/suche/deutschland/haeuser/kaufen/mehrfamilienhaus
97787,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/wohnungen/mieten/erdgeschosswohnung,https://immowelt.de/suche/deutschland/wohnungen/mieten/erdgeschosswohnung
97990,Country|Region|Province|Municipality|Borough,/suche/{0}/landwirtschaft-forstwirtschaft/kaufen/weingut,https://immowelt.de/suche/deutschland/landwirtschaft-forstwirtschaft/kaufen/weingut
98244,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/haeuser/kaufen/doppelhaushaelfte,https://immowelt.de/suche/deutschland/haeuser/kaufen/doppelhaushaelfte
99360,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/buero-praxisflaechen/kaufen,https://immowelt.de/suche/deutschland/buero-praxisflaechen/kaufen
99431,Country|Region|Province|Municipality|Borough,/suche/{0}/garage-stellplatz/mieten/stellplaetze-garagen-von-privat,https://immowelt.de/suche/deutschland/garage-stellplatz/mieten/stellplaetze-garagen-von-privat
99520,Country|Region|Province|Municipality|Borough,/suche/{0}/wohnungen/mieten/tauschwohnung,https://immowelt.de/suche/deutschland/wohnungen/mieten/tauschwohnung
99822,Country|Region|Province|Municipality|Borough,/suche/{0}/dachgeschosswohnungen/mieten/dachgeschosswohnungen,https://immowelt.de/suche/deutschland/dachgeschosswohnungen/mieten/dachgeschosswohnungen
